,u_dpto,u_mpio,poblacion,alfabetizacion,analfabetismo,escolarizado,descolarizado,remunerado,no_remunerado,atencion_formal,atencion_informal,no_necesita_atencion,sexo_m,sexo_f,departamento,municipio,labels
851,70,233,9786,0.722665,0.277335,0.760372,0.239628,0.182914,0.817086,0.103106,0.02943,0.867464,5067,4719,SUCRE,EL ROBLE,2
852,70,235,20239,0.78581,0.21419,0.813528,0.186472,0.294283,0.705717,0.053214,0.005484,0.941301,10353,9886,SUCRE,GALERAS,1
853,70,265,15618,0.758612,0.241388,0.802087,0.197913,0.280446,0.719554,0.08932,0.042259,0.868421,8136,7482,SUCRE,GUARANDA,1
854,70,400,11510,0.774544,0.225456,0.810078,0.189922,0.263597,0.736403,0.081929,0.011034,0.907037,6005,5505,SUCRE,LA UNION,1
855,70,418,21831,0.784527,0.215473,0.801017,0.198983,0.323393,0.676607,0.118639,0.030782,0.850579,11163,10668,SUCRE,LOS PALMITOS,1
856,70,429,32622,0.774477,0.225523,0.798878,0.201122,0.256483,0.743517,0.07308,0.022071,0.904849,17027,15595,SUCRE,MAJAGUAL,1
857,70,508,22384,0.770372,0.229628,0.781808,0.218192,0.332782,0.667218,0.101814,0.035472,0.862714,11536,10848,SUCRE,OVEJAS,1
858,70,523,12534,0.752753,0.247247,0.7794,0.2206,0.183421,0.816579,0.089197,0.01468,0.896123,6495,6039,SUCRE,PALMITO,2
859,70,670,44617,0.774189,0.225811,0.803124,0.196876,0.307058,0.692942,0.111101,0.037273,0.851626,22671,21946,SUCRE,SAMPUES,1
860,88,001,43754,0.895735,0.104265,0.902249,0.097751,0.545344,0.454656,0.025003,0.008114,0.966883,21114,22640,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,SAN ANDRES,3
861,05,842,6523,0.787674,0.212326,0.804231,0.195769,0.357351,0.642649,0.087996,0.008278,0.903725,3373,3150,ANTIOQUIA,URAMITA,1
862,05,854,11511,0.771523,0.228477,0.788376,0.211624,0.327773,0.672227,0.088177,0.013987,0.897837,5791,5720,ANTIOQUIA,VALDIVIA,1
863,05,858,11134,0.825489,0.174511,0.84004,0.15996,0.358452,0.641548,0.099515,0.009071,0.891414,5533,5601,ANTIOQUIA,VEGACHI,4
864,05,885,6234,0.794835,0.205165,0.819698,0.180302,0.405197,0.594803,0.09769,0.011229,0.891081,3238,2996,ANTIOQUIA,YALI,4
865,08,137,22810,0.793599,0.206401,0.811837,0.188163,0.190574,0.809426,0.028365,0.000877,0.970758,11394,11416,ATLANTICO,CAMPO DE LA CRUZ,1
866,08,141,15631,0.755166,0.244834,0.782164,0.217836,0.272791,0.727209,0.052588,0.007485,0.939927,7961,7670,ATLANTICO,CANDELARIA,1
867,08,372,18828,0.838432,0.161568,0.849214,0.150786,0.345124,0.654876,0.033939,0.00632,0.959741,9719,9109,ATLANTICO,JUAN DE ACOSTA,4
868,13,490,7899,0.752627,0.247373,0.801494,0.198506,0.361818,0.638182,0.099759,0.035701,0.86454,4230,3669,,,1
869,19,300,18513,0.869443,0.130557,0.903041,0.096959,0.327716,0.672284,0.091395,0.0121,0.896505,8655,9858,,,4
870,23,682,11059,0.742472,0.257528,0.800524,0.199476,0.300841,0.699159,0.086717,0.024143,0.88914,5757,5302,,,1
871,23,815,40033,0.677516,0.322484,0.711488,0.288512,0.240926,0.759074,0.068618,0.009967,0.921415,20713,19320,,,2
872,08,421,27647,0.797193,0.202807,0.81781,0.18219,0.292075,0.707925,0.076319,0.014396,0.909285,13813,13834,ATLANTICO,LURUACO,1
873,08,436,19233,0.775282,0.224718,0.826236,0.173764,0.267665,0.732335,0.078407,0.003068,0.918525,9761,9472,ATLANTICO,MANATI,1
874,08,549,5636,0.80731,0.19269,0.82665,0.17335,0.343861,0.656139,0.005678,0.000355,0.993967,2932,2704,ATLANTICO,PIOJO,1
875,08,606,25467,0.779204,0.220796,0.820199,0.179801,0.302666,0.697334,0.103153,0.028507,0.868339,12737,12730,ATLANTICO,REPELON,1
876,15,442,5354,0.802951,0.197049,0.833956,0.166044,0.282592,0.717408,0.115241,0.032312,0.852447,2955,2399,BOYACA,MARIPI,0
877,15,464,4300,0.845581,0.154419,0.87814,0.12186,0.216279,0.783721,0.183256,0.047442,0.769302,2073,2227,BOYACA,MONGUA,0
878,15,466,3895,0.84878,0.15122,0.882413,0.117587,0.344288,0.655712,0.087548,0.008986,0.903466,1837,2058,BOYACA,MONGUI,4
879,15,491,14651,0.900689,0.099311,0.908266,0.091734,0.407139,0.592861,0.084363,0.010853,0.904785,7046,7605,BOYACA,NOBSA,3
880,15,500,2797,0.867358,0.132642,0.884877,0.115123,0.441545,0.558455,0.114051,0.041115,0.844834,1429,1368,BOYACA,OICATA,3
881,15,740,6649,0.834411,0.165589,0.861182,0.138818,0.293879,0.706121,0.13581,0.010979,0.853211,3439,3210,BOYACA,SIACHOQUE,0
882,15,762,2586,0.851895,0.148105,0.87471,0.12529,0.165893,0.834107,0.081206,0.014308,0.904486,1333,1253,BOYACA,SORA,0
883,15,763,7953,0.87489,0.12511,0.889727,0.110273,0.349176,0.650824,0.05369,0.010814,0.935496,4064,3889,BOYACA,SOTAQUIRA,4
884,15,774,2555,0.863014,0.136986,0.887671,0.112329,0.290802,0.709198,0.163209,0.003914,0.832877,1322,1233,BOYACA,SUSACON,0
885,15,776,5755,0.865682,0.134318,0.888097,0.111903,0.410773,0.589227,0.082363,0.004865,0.912772,2883,2872,BOYACA,SUTAMARCHAN,3
886,19,821,30654,0.798819,0.201181,0.831311,0.168689,0.386964,0.613036,0.054349,0.01729,0.928362,15544,15110,CAUCA,TORIBIO,4
